"","fit","for2.mean"
"1",148.283044695753,151.658913624087
"2",150.954231423942,156.242458042592
"3",145.923138666429,151.798716463546
"4",147.302893808134,156.898650138219
"5",150.629800462994,157.411037014454
"6",150.867727573087,157.910556606348
"7",139.540746448167,150.367778847208
"8",138.837886874428,151.362968367428
"9",141.554653131718,152.636148844704
"10",144.762553338714,151.772916555873
"11",148.466238643178,152.698736231486
"12",144.627752599807,151.713811679851
"13",143.44000496735,152.612199547866
"14",136.978304834476,149.877132917588
"15",137.063558459244,151.274270880827
"16",140.515145889182,152.531740752195
"17",147.44371927902,154.713443474955
"18",146.782794271765,155.23077591746
"19",145.307856003241,155.3797123645
"20",145.984377077627,156.796940102945
"21",149.528904632576,157.808954633788
"22",148.225089912631,158.794770222613
"23",144.117858325041,159.663590700551
"24",146.601843500056,161.034585665257
"25",145.191828403813,162.358342129636
"26",154.799214241583,162.996471895564
"27",164.847654252012,167.987336009213
"28",166.202970191166,171.898631947526
"29",164.320785545045,175.744286536032
"30",161.447551413834,175.187807937202
"31",153.711133440144,173.43413994735
"32",157.069180738717,173.054289387378
"33",164.365383158966,173.346470220198
"34",247.238078497899,253.475190165714
"35",247.619062417877,253.063383722625
"36",242.424045379388,251.863379687045
"37",241.609382308714,251.683879523675
"38",250.745136308533,256.153624910965
"39",244.37650552625,251.900296944333
"40",246.763490485851,253.59121810237
"41",253.779466889923,254.936413218759
"42",248.339205683629,251.795185970798
"43",250.429307305143,253.546108995284
"44",250.02831716556,255.440222278695
"45",246.112957197256,256.113934099846
"46",253.687682259325,257.933666787009
"47",250.418709448052,256.234880985135
"48",249.045043199262,256.023360419488
"49",251.718810162371,257.341885009092
"50",253.339540275613,259.683129336835
"51",256.682848283832,259.977335615924
"52",255.47341118289,260.370680745607
"53",247.141675229329,258.667924421226
"54",253.019595787568,259.840478653096
"55",254.136981285123,260.286519979071
"56",253.316948746998,260.911477549203
"57",253.779152125179,261.603372431913
"58",254.508721505271,263.193857390768
"59",254.534226218287,263.951019997441
"60",256.500836971516,264.996806205852
"61",256.479887257036,265.225589648898
"62",263.7933650445,268.326575436005
"63",257.777028052863,267.931924266355
"64",258.345494948992,269.027632128763
"65",255.285337144485,267.213044513348
"66",255.27237504747,264.399662968822
"67",259.856803565559,266.784224600101
"68",254.958355244537,265.10096723428
"69",248.56636654254,263.676852256263
"70",255.443392968001,265.706908961922
"71",265.541799780152,263.666501229255
"72",304.557680441538,272.87052082936
"73",304.74831878666,280.551222031581
"74",302.582798721135,282.390084135262
"75",299.802315578558,284.546619641361
"76",297.293504074819,285.075260183412
"77",296.659665775407,286.043539378595
"78",301.048016641327,289.046531536039
"79",294.335647139755,291.093017813033
"80",297.140515168924,294.419360965971
"81",294.1103629294,297.002745751421
"82",294.907491881014,298.048951945464
"83",289.437176266295,300.163353338105
"84",291.52471541949,302.051085942778
"85",287.280533505638,303.690550306074
"86",288.300433039951,304.868330493359
"87",289.765510326918,305.360308297897
"88",290.428091552602,306.084871837868
"89",288.735782699001,306.339916965756
"90",280.533032392971,303.118019105831
"91",277.561223849317,301.635232542534
"92",276.426102688978,299.924285003397
"93",275.78259538349,297.768253449249
"94",187.971645945427,208.696385824174
"95",184.617079184439,202.920534147098
"96",148.640009622451,167.213964416134
